"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1982-Q3","Q3-1982","PC","Percentage","0","Units",,,-3.365694,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1982-Q4","Q4-1982","PC","Percentage","0","Units",,,-3.292381,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1983-Q1","Q1-1983","PC","Percentage","0","Units",,,-3.501489,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1983-Q2","Q2-1983","PC","Percentage","0","Units",,,-2.930988,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1983-Q3","Q3-1983","PC","Percentage","0","Units",,,-3.637041,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1983-Q4","Q4-1983","PC","Percentage","0","Units",,,-2.771204,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1984-Q1","Q1-1984","PC","Percentage","0","Units",,,-3.876026,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1984-Q2","Q2-1984","PC","Percentage","0","Units",,,-3.41986,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1984-Q3","Q3-1984","PC","Percentage","0","Units",,,-4.420203,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1984-Q4","Q4-1984","PC","Percentage","0","Units",,,-5.051367,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1985-Q1","Q1-1985","PC","Percentage","0","Units",,,-4.04442,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1985-Q2","Q2-1985","PC","Percentage","0","Units",,,-4.441575,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1985-Q3","Q3-1985","PC","Percentage","0","Units",,,-5.478545,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1985-Q4","Q4-1985","PC","Percentage","0","Units",,,-5.573172,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1986-Q1","Q1-1986","PC","Percentage","0","Units",,,-5.907987,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1986-Q2","Q2-1986","PC","Percentage","0","Units",,,-5.514618,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1986-Q3","Q3-1986","PC","Percentage","0","Units",,,-4.69496,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1986-Q4","Q4-1986","PC","Percentage","0","Units",,,-4.274134,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1987-Q1","Q1-1987","PC","Percentage","0","Units",,,-4.037988,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1987-Q2","Q2-1987","PC","Percentage","0","Units",,,-3.170121,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1987-Q3","Q3-1987","PC","Percentage","0","Units",,,-3.201538,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1987-Q4","Q4-1987","PC","Percentage","0","Units",,,-3.217481,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1988-Q1","Q1-1988","PC","Percentage","0","Units",,,-2.949,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1988-Q2","Q2-1988","PC","Percentage","0","Units",,,-3.602615,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1988-Q3","Q3-1988","PC","Percentage","0","Units",,,-3.875165,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1988-Q4","Q4-1988","PC","Percentage","0","Units",,,-4.809582,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1989-Q1","Q1-1989","PC","Percentage","0","Units",,,-5.489367,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1989-Q2","Q2-1989","PC","Percentage","0","Units",,,-5.895958,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1989-Q3","Q3-1989","PC","Percentage","0","Units",,,-6.377566,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1989-Q4","Q4-1989","PC","Percentage","0","Units",,,-6.201573,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1990-Q1","Q1-1990","PC","Percentage","0","Units",,,-6.103392,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1990-Q2","Q2-1990","PC","Percentage","0","Units",,,-4.374826,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1990-Q3","Q3-1990","PC","Percentage","0","Units",,,-4.116415,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1990-Q4","Q4-1990","PC","Percentage","0","Units",,,-4.814818,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1991-Q1","Q1-1991","PC","Percentage","0","Units",,,-3.867131,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1991-Q2","Q2-1991","PC","Percentage","0","Units",,,-3.270847,,
